ti (s),tf (s),xi (mm),yi (mm),xf (mm),yf (mm),TS (mm/s),WFS (m/min)
0.0,5.0,30.0,30.0,30.0,50.0,4,6.9
5.0,10.0,30.0,50.0,30.0,70.0,4,5.1
10.0,15.0,30.0,70.0,30.0,90.0,4,7.26
15.0,20.0,30.0,90.0,30.0,110.0,4,8.7
20.0,25.0,30.0,110.0,30.0,130.0,4,5.1
25.0,30.0,30.0,130.0,30.0,150.0,4,7.26
30.0,35.0,30.0,150.0,30.0,170.0,4,5.82
35.0,40.0,30.0,170.0,30.0,190.0,4,7.62
40.0,45.0,30.0,190.0,30.0,210.0,4,5.82
45.0,50.0,30.0,210.0,30.0,230.0,4,8.34
50.0,55.0,30.0,230.0,30.0,250.0,4,5.1
55.0,60.0,30.0,250.0,30.0,270.0,4,8.34
60.0,65.0,30.0,270.0,30.0,290.0,4,6.54
65.0,70.0,30.0,290.0,30.0,310.0,4,8.7
70.0,75.0,30.0,310.0,30.0,330.0,4,6.9
75.0,80.0,30.0,330.0,30.0,350.0,4,5.46
80.0,85.0,30.0,350.0,30.0,370.0,4,7.98
